year,area,age_group,sex,population
2021,I: Mar Menor,45-49,0,5391
2021,I: Mar Menor,50-54,0,4735
2021,I: Mar Menor,55-59,0,3979
2021,I: Mar Menor,60-64,0,2972
2021,I: Mar Menor,65-69,0,2150
2021,I: Mar Menor,70-74,0,1808
2021,I: Mar Menor,75-79,0,1440
2021,I: Mar Menor,80-84,0,874
2021,I: Mar Menor,85-89,0,563
2021,I: Mar Menor,90-94,0,199
2021,I: Mar Menor,95+,0,36
2021,I: Mar Menor,0-4,1,2770
2021,I: Mar Menor,5-9,1,3414
2021,I: Mar Menor,10-14,1,3779
2021,I: Mar Menor,15-19,1,3355
2021,I: Mar Menor,20-24,1,3096
2021,I: Mar Menor,25-29,1,3132
2021,I: Mar Menor,30-34,1,3627
2021,I: Mar Menor,35-39,1,4222
2021,I: Mar Menor,40-44,1,4650
2021,I: Mar Menor,45-49,1,4536
2021,I: Mar Menor,50-54,1,4123
2021,I: Mar Menor,55-59,1,3406
2021,I: Mar Menor,60-64,1,2715
2021,I: Mar Menor,65-69,1,2119
2021,I: Mar Menor,70-74,1,1953
2021,I: Mar Menor,75-79,1,1537
2021,I: Mar Menor,80-84,1,1281
2021,I: Mar Menor,85-89,1,869
2021,I: Mar Menor,90-94,1,412
2021,I: Mar Menor,95+,1,100
2021, Vega Alta del Segura,0-4,0,1164
2021, Vega Alta del Segura,5-9,0,1462
2021, Vega Alta del Segura,10-14,0,1517
2021, Vega Alta del Segura,15-19,0,1586
2021, Vega Alta del Segura,20-24,0,1609
2021, Vega Alta del Segura,25-29,0,1631
2021, Vega Alta del Segura,30-34,0,1693
2021, Vega Alta del Segura,35-39,0,1903
2021, Vega Alta del Segura,40-44,0,2406
2021, Vega Alta del Segura,45-49,0,2509
2021, Vega Alta del Segura,50-54,0,2249
2021, Vega Alta del Segura,55-59,0,1916
2021, Vega Alta del Segura,60-64,0,1620
2021, Vega Alta del Segura,65-69,0,1063
2021, Vega Alta del Segura,70-74,0,942
2021, Vega Alta del Segura,75-79,0,798
2021, Vega Alta del Segura,80-84,0,578
2021, Vega Alta del Segura,85-89,0,417
2021, Vega Alta del Segura,90-94,0,153
2021, Vega Alta del Segura,95+,0,31
2021, Vega Alta del Segura,0-4,1,1130
2021, Vega Alta del Segura,5-9,1,1449
2021, Vega Alta del Segura,10-14,1,1508
2021, Vega Alta del Segura,15-19,1,1399
2021, Vega Alta del Segura,20-24,1,1472
2021, Vega Alta del Segura,25-29,1,1565
2021, Vega Alta del Segura,30-34,1,1719
2021, Vega Alta del Segura,35-39,1,1790
2021, Vega Alta del Segura,40-44,1,2023
2021, Vega Alta del Segura,45-49,1,2114
2021, Vega Alta del Segura,50-54,1,2090
2021, Vega Alta del Segura,55-59,1,1876
2021, Vega Alta del Segura,60-64,1,1561
2021, Vega Alta del Segura,65-69,1,1173
2021, Vega Alta del Segura,70-74,1,1113
2021, Vega Alta del Segura,75-79,1,1049
2021, Vega Alta del Segura,80-84,1,853
2021, Vega Alta del Segura,85-89,1,606
