area,center_id,professional_type,total_hours,total_area_hours,weight
Lorca,233,Pediatrician,23.247972265829407,992.6952511773939,0.023419042488876593
Lorca,240,GP,17.5,3743.2143768973488,0.004675126305350773
Lorca,241,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,241,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,242,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,242,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,243,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,243,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,244,GP,403.17016187926856,3743.2143768973488,0.10770693881910275
Lorca,244,Nurse,683.8958878768486,5151.337212639113,0.132760846290332
Lorca,244,Pediatrician,139.48783359497645,992.6952511773939,0.14051425493325956
Lorca,245,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,245,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,246,GP,47.43178375050219,3743.2143768973488,0.012671404566953266
Lorca,246,Nurse,89.2038114621976,5151.337212639113,0.017316632124825905
Lorca,246,Pediatrician,23.247972265829407,992.6952511773939,0.023419042488876593
Lorca,247,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,247,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,248,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,248,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,249,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,249,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,250,GP,308.3065943782642,3743.2143768973488,0.08236412968519623
Lorca,250,Nurse,505.4882649524533,5151.337212639113,0.09812758204068017
Lorca,250,Pediatrician,92.99188906331763,992.6952511773939,0.09367616995550637
Lorca,251,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,251,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,252,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,252,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,252,Pediatrician,23.247972265829407,992.6952511773939,0.023419042488876593
Lorca,261,GP,23.715891875251096,3743.2143768973488,0.006335702283476633
Lorca,261,Nurse,29.734603820732534,5151.337212639113,0.005772210708275302
Lorca,276,GP,213.44302687725983,3743.2143768973488,0.05702132055128969
Lorca,276,Nurse,327.0806420280579,5151.337212639113,0.06349431779102833
Lorca,276,Pediatrician,46.495944531658814,992.6952511773939,0.046838084977753186
Lorca,277,GP,90,3743.2143768973488,0.02404350671323255
Lorca,277,Nurse,150,5151.337212639113,0.029118652848422747
